date,region,product,units_sold,price_per_unit,revenue
2023-01-01,North America,Phone,7,1024,7168
2023-01-02,Europe,Phone,3,417,1251
2023-01-03,North America,Tablet,3,1136,3408
2023-01-04,North America,Phone,8,952,7616
2023-01-05,Europe,Laptop,5,705,3525
2023-01-06,Europe,Laptop,4,458,1832
2023-01-07,North America,Laptop,8,253,2024
2023-01-08,Asia,Tablet,6,1270,7620
2023-01-09,North America,Phone,2,926,1852
2023-01-10,North America,Laptop,4,888,3552
2023-01-11,North America,Tablet,4,1322,5288
2023-01-12,North America,Phone,6,1243,7458
2023-01-13,Europe,Tablet,6,618,3708
2023-01-14,North America,Laptop,1,889,889
2023-01-15,Asia,Laptop,8,1049,8392
2023-01-16,Europe,Laptop,6,261,1566
2023-01-17,Asia,Tablet,3,1368,4104
2023-01-18,Asia,Tablet,9,415,3735
2023-01-19,Asia,Laptop,2,202,404
2023-01-20,Asia,Tablet,8,359,2872
2023-01-21,Europe,Laptop,3,980,2940
2023-01-22,Europe,Laptop,5,1343,6715
2023-01-23,Asia,Phone,6,1092,6552
2023-01-24,Asia,Tablet,6,1312,7872
2023-01-25,Europe,Laptop,4,528,2112
2023-01-26,Europe,Laptop,3,779,2337
2023-01-27,Europe,Tablet,4,1490,5960
2023-01-28,North America,Phone,1,1151,1151
2023-01-29,North America,Phone,4,834,3336
2023-01-30,North America,Laptop,1,1187,1187
2023-01-31,Asia,Tablet,1,1418,1418
2023-02-01,North America,Phone,6,1120,6720
2023-02-02,Asia,Tablet,5,937,4685
2023-02-03,Asia,Tablet,4,369,1476
2023-02-04,North America,Laptop,3,720,2160
2023-02-05,Asia,Phone,1,239,239
2023-02-06,North America,Laptop,6,1484,8904
2023-02-07,North America,Phone,2,1154,2308
2023-02-08,Europe,Phone,8,1449,11592
2023-02-09,North America,Phone,5,1183,5915
2023-02-10,Europe,Phone,7,1347,9429
2023-02-11,North America,Phone,2,1174,2348
2023-02-12,North America,Tablet,8,237,1896
2023-02-13,Europe,Laptop,2,527,1054
2023-02-14,Europe,Tablet,4,1474,5896
2023-02-15,North America,Phone,1,1399,1399
2023-02-16,Asia,Laptop,5,1113,5565
2023-02-17,Europe,Phone,9,653,5877
2023-02-18,Asia,Laptop,1,236,236
2023-02-19,Asia,Tablet,9,1172,10548
2023-02-20,Asia,Laptop,8,995,7960
2023-02-21,Europe,Laptop,6,1172,7032
2023-02-22,Asia,Laptop,7,792,5544
2023-02-23,Europe,Laptop,3,1337,4011
2023-02-24,Asia,Laptop,1,1263,1263
2023-02-25,North America,Phone,5,423,2115
2023-02-26,North America,Laptop,2,517,1034
2023-02-27,Europe,Laptop,5,548,2740
2023-02-28,North America,Tablet,8,314,2512
2023-03-01,North America,Laptop,9,897,8073
2023-03-02,Asia,Tablet,2,1263,2526
2023-03-03,Europe,Phone,3,239,717
2023-03-04,Asia,Laptop,3,1485,4455
2023-03-05,Asia,Tablet,1,415,415
2023-03-06,Asia,Tablet,8,1370,10960
2023-03-07,Asia,Phone,6,535,3210
2023-03-08,Asia,Laptop,8,1391,11128
2023-03-09,Asia,Laptop,9,291,2619
2023-03-10,Asia,Tablet,5,552,2760
2023-03-11,Europe,Laptop,3,770,2310
2023-03-12,North America,Tablet,5,1015,5075
2023-03-13,Asia,Laptop,5,980,4900
2023-03-14,Asia,Tablet,5,562,2810
2023-03-15,Asia,Laptop,3,756,2268
2023-03-16,Asia,Phone,4,1393,5572
2023-03-17,Asia,Laptop,9,555,4995
2023-03-18,Asia,Laptop,9,390,3510
2023-03-19,North America,Phone,2,621,1242
2023-03-20,North America,Laptop,8,899,7192
2023-03-21,Asia,Phone,8,206,1648
2023-03-22,North America,Laptop,7,332,2324
2023-03-23,Europe,Tablet,8,756,6048
2023-03-24,Asia,Tablet,3,1025,3075
2023-03-25,Europe,Laptop,6,960,5760
2023-03-26,Europe,Laptop,1,1254,1254
2023-03-27,Asia,Laptop,7,734,5138
2023-03-28,North America,Tablet,1,625,625
2023-03-29,Europe,Laptop,9,871,7839
2023-03-30,Asia,Tablet,1,562,562
2023-03-31,Europe,Phone,1,281,281
2023-04-01,Europe,Tablet,7,555,3885
2023-04-02,Europe,Tablet,2,1481,2962
2023-04-03,Europe,Phone,5,788,3940
2023-04-04,North America,Tablet,8,494,3952
2023-04-05,Europe,Laptop,8,1447,11576
2023-04-06,Europe,Laptop,3,1269,3807
2023-04-07,Europe,Tablet,7,1336,9352
2023-04-08,North America,Laptop,3,1456,4368
2023-04-09,Europe,Tablet,6,216,1296
2023-04-10,Europe,Laptop,6,559,3354
2023-04-11,North America,Laptop,3,1446,4338
2023-04-12,North America,Tablet,7,1065,7455
2023-04-13,North America,Laptop,3,899,2697
2023-04-14,Europe,Tablet,8,647,5176
2023-04-15,North America,Laptop,4,1055,4220
2023-04-16,North America,Laptop,1,564,564
2023-04-17,Europe,Phone,4,874,3496
2023-04-18,North America,Phone,7,1207,8449
2023-04-19,Europe,Tablet,4,666,2664
2023-04-20,Asia,Phone,6,613,3678
2023-04-21,North America,Tablet,9,785,7065
2023-04-22,Asia,Phone,1,1456,1456
2023-04-23,Europe,Laptop,5,1447,7235
2023-04-24,North America,Tablet,7,1193,8351
2023-04-25,Europe,Tablet,1,771,771
2023-04-26,Asia,Laptop,4,534,2136
2023-04-27,Europe,Tablet,6,1445,8670
2023-04-28,North America,Tablet,2,236,472
2023-04-29,North America,Phone,5,1188,5940
2023-04-30,Asia,Tablet,1,477,477
2023-05-01,Europe,Laptop,6,1419,8514
2023-05-02,North America,Phone,6,1115,6690
2023-05-03,Asia,Phone,4,683,2732
2023-05-04,North America,Laptop,8,1465,11720
2023-05-05,North America,Laptop,4,930,3720
2023-05-06,Europe,Phone,8,391,3128
2023-05-07,North America,Tablet,8,1240,9920
2023-05-08,Europe,Phone,5,723,3615
2023-05-09,North America,Laptop,4,1117,4468
2023-05-10,Asia,Phone,2,600,1200
2023-05-11,North America,Laptop,3,1085,3255
2023-05-12,Europe,Phone,3,904,2712
2023-05-13,Europe,Tablet,4,221,884
2023-05-14,Asia,Phone,4,673,2692
2023-05-15,North America,Phone,5,1343,6715
2023-05-16,North America,Laptop,4,409,1636
2023-05-17,Asia,Laptop,8,505,4040
2023-05-18,North America,Laptop,6,1493,8958
2023-05-19,North America,Phone,6,903,5418
2023-05-20,Europe,Tablet,8,886,7088
2023-05-21,North America,Laptop,7,484,3388
2023-05-22,North America,Laptop,8,915,7320
2023-05-23,Asia,Phone,2,962,1924
2023-05-24,Asia,Laptop,9,1450,13050
2023-05-25,Europe,Tablet,1,1147,1147
2023-05-26,North America,Tablet,8,580,4640
2023-05-27,North America,Laptop,4,659,2636
2023-05-28,North America,Laptop,4,1230,4920
2023-05-29,Europe,Phone,5,228,1140
2023-05-30,Europe,Tablet,8,1106,8848
2023-05-31,Asia,Tablet,5,1256,6280
2023-06-01,Europe,Laptop,8,1078,8624
2023-06-02,North America,Phone,1,278,278
2023-06-03,North America,Tablet,9,1146,10314
2023-06-04,Europe,Tablet,6,658,3948
2023-06-05,North America,Phone,3,769,2307
2023-06-06,North America,Phone,8,937,7496
2023-06-07,Europe,Tablet,9,715,6435
2023-06-08,Europe,Tablet,6,1322,7932
2023-06-09,North America,Phone,7,596,4172
2023-06-10,North America,Tablet,1,238,238
2023-06-11,North America,Laptop,5,1494,7470
2023-06-12,Asia,Laptop,5,1086,5430
2023-06-13,Asia,Phone,4,996,3984
2023-06-14,Asia,Phone,6,356,2136
2023-06-15,Europe,Phone,7,1298,9086
2023-06-16,Asia,Laptop,9,1083,9747
2023-06-17,Europe,Tablet,1,1353,1353
2023-06-18,Europe,Laptop,6,1173,7038
2023-06-19,Asia,Tablet,7,1307,9149
2023-06-20,Asia,Laptop,3,1245,3735
2023-06-21,Asia,Tablet,8,1048,8384
2023-06-22,North America,Laptop,5,947,4735
